,date,stock_id,deal_price,volume,Time,TickType
0,2021-06-21,1504,32.4,4,08:31:17.305,1
1,2021-06-21,1504,32.4,4,08:31:22.324,1
2,2021-06-21,1504,32.4,4,08:31:32.364,1
3,2021-06-21,1504,32.4,4,08:32:02.469,1
4,2021-06-21,1504,32.4,4,08:32:07.488,1
5,2021-06-21,1504,32.4,6,08:32:12.507,1
6,2021-06-21,1504,32.4,6,08:32:22.543,1
7,2021-06-21,1504,32.4,6,08:33:07.707,1
8,2021-06-21,1504,32.4,6,08:39:24.479,1
9,2021-06-21,1504,32.4,5,08:40:24.828,1
10,2021-06-21,1504,32.4,4,08:40:54.948,1
11,2021-06-21,1504,32.4,4,08:41:35.099,1
12,2021-06-21,1504,32.4,5,08:44:25.730,1
13,2021-06-21,1504,32.4,6,08:45:31.574,1
14,2021-06-21,1504,32.4,6,08:49:57.384,1
15,2021-06-21,1504,32.4,5,08:50:22.521,1
16,2021-06-21,1504,32.35,5,08:50:42.606,2
17,2021-06-21,1504,32.35,5,08:52:02.908,2
18,2021-06-21,1504,32.35,5,08:52:28.002,2
19,2021-06-21,1504,32.35,5,08:52:33.021,2
20,2021-06-21,1504,32.35,5,08:52:58.112,2
21,2021-06-21,1504,32.35,5,08:53:18.181,2
22,2021-06-21,1504,32.35,5,08:56:39.472,2
23,2021-06-21,1504,32.35,5,08:56:54.513,2
24,2021-06-21,1504,32.35,5,08:59:55.104,2
25,2021-06-21,1504,32.35,6,09:00:02.152,2
26,2021-06-21,1504,32.4,5,09:00:12.969,1
27,2021-06-21,1504,32.4,3,09:00:13.107,0
28,2021-06-21,1504,32.6,1,09:00:13.704,1
29,2021-06-21,1504,32.7,1,09:00:14.004,1
30,2021-06-21,1504,32.7,1,09:00:20.084,0
31,2021-06-21,1504,32.3,1,09:00:26.352,2
32,2021-06-21,1504,32.35,1,09:00:47.199,1
33,2021-06-21,1504,32.3,1,09:01:00.593,2
34,2021-06-21,1504,32.25,3,09:01:07.375,2
35,2021-06-21,1504,32.25,1,09:01:08.773,0
36,2021-06-21,1504,32.2,4,09:01:35.276,2
37,2021-06-21,1504,32.2,1,09:02:05.852,0
38,2021-06-21,1504,32.2,1,09:02:41.069,2
39,2021-06-21,1504,32.25,1,09:02:46.579,1
40,2021-06-21,1504,32.5,2,09:03:02.440,1
41,2021-06-21,1504,32.45,1,09:03:45.155,2
42,2021-06-21,1504,32.2,1,09:04:08.033,2
43,2021-06-21,1504,32.3,25,09:04:26.601,1
44,2021-06-21,1504,32.4,1,09:07:29.216,1
45,2021-06-21,1504,32.5,3,09:08:01.206,1
46,2021-06-21,1504,32.5,1,09:08:16.668,1
47,2021-06-21,1504,32.5,1,09:08:50.724,1
48,2021-06-21,1504,32.45,1,09:10:30.056,2
49,2021-06-21,1504,32.45,1,09:12:09.770,2
50,2021-06-21,1504,32.45,2,09:13:15.460,2
51,2021-06-21,1504,32.45,1,09:13:25.465,2
52,2021-06-21,1504,32.45,1,09:13:55.296,2
53,2021-06-21,1504,32.45,1,09:17:07.068,2
54,2021-06-21,1504,32.45,1,09:17:16.477,2
55,2021-06-21,1504,32.45,1,09:17:17.646,2
56,2021-06-21,1504,32.45,1,09:17:19.377,2
57,2021-06-21,1504,32.45,5,09:17:20.305,0
58,2021-06-21,1504,32.4,1,09:17:59.738,2
59,2021-06-21,1504,32.4,1,09:20:01.495,1
60,2021-06-21,1504,32.4,1,09:20:09.284,1
61,2021-06-21,1504,32.4,1,09:20:15.058,0
62,2021-06-21,1504,32.4,1,09:23:11.300,2
63,2021-06-21,1504,32.45,1,09:23:12.032,1
64,2021-06-21,1504,32.4,1,09:24:24.522,2
65,2021-06-21,1504,32.4,1,09:26:42.441,2
66,2021-06-21,1504,32.4,3,09:27:43.813,2
67,2021-06-21,1504,32.4,1,09:28:24.471,2
68,2021-06-21,1504,32.4,3,09:31:17.015,2
69,2021-06-21,1504,32.4,1,09:32:07.765,2
70,2021-06-21,1504,32.4,1,09:32:16.313,2
