,date,stock_id,Trading_Volume,Trading_money,open,max,min,close,spread,Trading_turnover
0,2020-04-06,2330,59712754,16324198154,273.0,275.5,270.0,275.5,4.0,19971
1,2020-04-07,2330,48887346,13817936851,283.5,284.0,280.5,283.0,7.5,24281
2,2020-04-08,2330,38698826,11016972354,285.0,285.5,283.0,285.0,2.0,19126
3,2020-04-09,2330,29276430,8346209654,287.5,288.0,282.5,283.0,-2.0,15271
4,2020-04-10,2330,28206858,7894277586,280.0,282.0,279.0,279.5,-3.5,15833
5,2020-04-13,2330,22196596,6202532380,278.5,281.5,278.5,278.5,-1.0,12809
6,2020-04-14,2330,50196688,14268689661,281.0,285.5,280.0,285.0,6.5,22214
7,2020-04-15,2330,58561434,16819851630,287.0,288.5,286.0,287.5,2.5,25696
8,2020-04-16,2330,48257280,13813721932,283.0,288.5,283.0,286.5,-1.0,19084
9,2020-04-17,2330,117447201,35719172728,303.5,308.5,300.5,306.5,20.0,60873
10,2020-04-20,2330,44586860,13605802989,308.0,309.0,302.5,304.0,-2.5,21791
11,2020-04-21,2330,61949357,18417786171,300.5,301.5,293.5,295.0,-9.0,39043
12,2020-04-22,2330,43568580,12746170556,294.5,295.0,290.5,294.0,-1.0,25176
13,2020-04-23,2330,39977278,11864085990,300.0,300.0,294.0,295.5,1.5,18541
14,2020-04-24,2330,26465090,7799075756,295.5,297.0,294.0,294.0,-1.5,13661
15,2020-04-27,2330,38493406,11461378300,298.0,298.5,296.0,298.0,4.0,15916
16,2020-04-28,2330,37621165,11134919970,298.5,298.5,294.5,296.5,-1.5,18214
17,2020-04-29,2330,46253301,13861245296,299.0,301.5,298.0,299.0,2.5,21633
18,2020-04-30,2330,58439085,17753466901,302.0,305.0,301.5,304.5,5.5,26219
19,2020-05-04,2330,72252861,21341931218,294.5,296.5,294.0,295.0,-9.5,37736
20,2020-05-05,2330,23988405,7104774785,296.5,298.0,295.0,295.5,0.5,13569
21,2020-05-06,2330,35704479,10524838077,294.5,296.0,292.5,296.0,0.5,16046
22,2020-05-07,2330,28017198,8321170642,294.5,299.0,294.5,297.5,1.5,13149
23,2020-05-08,2330,35613893,10619091212,300.0,300.0,296.0,297.5,0.0,14345
24,2020-05-11,2330,32379019,9729431840,300.0,301.5,298.5,301.0,3.5,14920
25,2020-05-12,2330,52494788,15553012596,297.5,298.5,295.0,295.0,-6.0,29073
26,2020-05-13,2330,46158418,13619538824,293.0,297.0,292.5,297.0,2.0,14555
27,2020-05-14,2330,34480948,10119787160,293.0,295.0,292.5,293.0,-4.0,21482
28,2020-05-15,2330,44304804,13170466660,297.5,298.5,294.5,298.0,5.0,20071
29,2020-05-18,2330,96872065,28216346996,291.0,293.5,290.0,290.0,-8.0,49640
30,2020-05-19,2330,53083214,15527338138,294.0,294.0,291.5,291.5,1.5,22033
31,2020-05-20,2330,36789994,10772280152,293.0,294.0,291.0,294.0,2.5,16906
32,2020-05-21,2330,36299468,10782482962,296.0,298.0,295.0,297.5,3.5,17064
33,2020-05-22,2330,41138923,12025339565,294.5,295.0,291.0,292.0,-5.5,22345
34,2020-05-25,2330,32942223,9568008388,290.5,293.0,288.5,292.0,0.0,14585
35,2020-05-26,2330,35817481,10609868646,295.0,297.5,293.5,295.5,3.5,19524
36,2020-05-27,2330,23375959,6932934823,297.0,298.0,295.5,296.5,1.0,11244
37,2020-05-28,2330,32395568,9575118830,298.5,298.5,293.0,294.0,-2.5,13208
38,2020-05-29,2330,96611181,28172174547,292.0,292.5,290.0,292.0,-2.0,21037
39,2020-06-01,2330,37936214,11205227094,294.0,296.5,293.5,295.5,3.5,15502
40,2020-06-02,2330,26663587,7908476089,296.0,297.5,296.0,296.5,1.0,9743
41,2020-06-03,2330,67894337,20354971677,300.0,301.0,298.0,301.0,4.5,33062
42,2020-06-04,2330,47225322,14414983532,305.0,306.0,304.0,306.0,5.0,24482
43,2020-06-05,2330,44077262,13655618646,308.5,312.0,308.0,311.5,5.5,24096
44,2020-06-08,2330,52042921,16500836851,316.0,319.0,315.0,318.0,6.5,28581
45,2020-06-09,2330,37068082,11746874522,316.5,319.0,314.0,319.0,1.0,19981
46,2020-06-10,2330,42207259,13566733306,319.0,324.0,318.0,322.5,3.5,22670
47,2020-06-11,2330,50612255,16340456218,325.5,327.0,318.5,320.5,-2.0,27061
48,2020-06-12,2330,46970918,14811252573,313.0,317.5,312.5,316.0,-4.5,25263
49,2020-06-15,2330,51032404,15955585136,316.0,317.5,308.5,309.5,-6.5,29255
50,2020-06-16,2330,40725216,12823172756,317.0,317.0,314.0,315.0,5.5,19377
51,2020-06-17,2330,34692968,10922017056,316.5,317.0,313.5,315.0,0.0,16218
52,2020-06-18,2330,35443474,11123108346,314.5,315.0,313.0,314.5,0.0,11897
53,2020-06-19,2330,48130280,15102300186,314.0,314.5,312.0,314.5,0.0,12915
54,2020-06-22,2330,37374616,11722688924,314.5,316.5,312.0,312.0,-2.5,18836
55,2020-06-23,2330,41300084,12981121544,316.0,316.5,312.5,315.0,3.0,15959
56,2020-06-24,2330,55464024,17641164202,319.0,320.0,316.0,317.5,2.5,27086
57,2020-06-29,2330,56672892,17695228688,314.0,315.0,310.0,312.0,-5.5,30558
58,2020-06-30,2330,49241860,15386428040,313.5,314.0,311.0,313.0,1.0,16165
59,2020-07-01,2330,29685342,9400765756,315.0,318.0,314.0,317.5,4.5,15617
60,2020-07-02,2330,37789178,12119073560,319.0,322.0,318.0,322.0,4.5,18355
61,2020-07-03,2330,55656987,18280314743,327.0,330.5,326.5,329.5,7.5,30235
62,2020-07-06,2330,57256220,19200718243,332.5,338.0,332.0,338.0,8.5,31866
63,2020-07-07,2330,59046323,20143258406,343.5,346.0,338.0,338.5,0.5,32076
64,2020-07-08,2330,33813218,11522915649,337.5,342.5,337.5,341.0,2.5,16673
65,2020-07-09,2330,37410376,12912747970,346.0,347.0,343.0,345.0,4.0,20205
66,2020-07-10,2330,60902108,21298923681,352.5,353.0,345.5,348.5,3.5,32227
67,2020-07-13,2330,49459523,17425372488,351.0,354.5,350.5,354.5,6.0,23217
68,2020-07-14,2330,63030150,22602878292,355.0,364.0,354.5,363.5,9.0,30996
69,2020-07-15,2330,75105362,27486789803,366.0,370.0,361.0,363.0,-0.5,37607
